Player Name Norm,Player UUID
guglielmo vicario,efd6e335-1e14-48f5-a30b-1f837c475858
guido rodriguez,4bfdc060-3249-4771-9ff2-e643bf4ab47c
gustavo nunes fernandes gomes,9d8225da-161e-41b2-b365-5c795cde884c
habib diarra,f4695013-0b19-4ea9-b9d6-3927a743a0c1
hakon rafn valdimarsson,2f7c97ca-defa-41d6-ba36-428b51eed254
hamed traore,3e2e7dbf-7765-4428-9053-cd686544e5a7
hannes delcroix,53333a5d-fbf3-407e-b992-3b5f2e5cdd73
hannibal mejbri,60db543d-1729-4549-b7a8-ed3a25d3f4c4
harrison armstrong,80e4359a-e3cf-423f-8eed-2de7160c3596
harrison ashby,7f9993c1-fc30-4117-b179-8e97bf3bac26
harrison jones,601035ed-b96f-4710-a429-c66d2b95cf41
harrison reed,9f795eb7-d89f-446f-afc6-75b03689dc0c
harry amass,21f1c25d-f5c6-4cd0-a3aa-6c38ffe60fb8
harry gray,91617b66-951b-4e00-a1cf-9d5025ab96fb
harry howell,e4c328a2-9a94-42bb-8ac2-5c80715af628
harry maguire,9da5a5f1-16f0-4f8f-9e07-26beb82d3a54
harry tyrer,da04ff81-24f0-41c1-b586-995dccfea714
harry wilson,ba0f69b4-67a7-4e70-8639-cf4c2b25434b
harvey barnes,0435fa32-b30f-41f9-a3e5-c95efd1fb1ea
harvey elliott,30640fdd-5a93-4061-9d76-6f65294f71d1
hjalmar ekdal,637b0974-128c-4861-9555-cd8e83a5d135
hugo bueno lopez,f9d2ca13-1187-4e9e-942e-833a459a7c8a
hugo ekitike,61d084ef-5090-41a8-862e-dc5ee8037cb4
hwang heechan,cb3c88de-436e-4f0a-9619-c6ade83591b7
ian maatsen,eb4fb1d8-2687-4465-97eb-5c23fd171e71
ian povedaocampo,03d74ae2-c98d-42dd-aade-e9effe9585c6
ibrahim sangare,438c6b18-8a1e-4f6f-8be8-d1c6873dcf5d
ibrahima konate,6f249bd8-c089-4f78-a083-4e70e2bb9e55
idrissa gana gueye,877257e6-027c-4a01-8c6f-dbe10c7e6aab
igor jesus maciel da cruz,2cbc0731-9bef-4ab1-90ae-7a86ae87a92c
igor julio dos santos de paulo,2c965f56-4047-420f-b76a-4daaf1333213
igor thiago nascimento rodrigues,4e0c1db3-ca6d-485b-ace8-016128b03e3b
ilia gruev,fdcc7aae-8087-4e01-a32f-d2956b5199f7
iliman ndiaye,e8fd0358-bf56-4fe3-8a1a-26336b22a63f
ilkay gundogan,aebf5ae6-30c8-4bf3-8053-e4d1fd4bde6c
illan meslier,35c00ee5-3b5a-4b90-9536-64e143d9077f
illia zabarnyi,1da2bc64-bed1-440f-95d2-99239953bc89
isaac hayden,9d60afed-7fd9-4ae2-8093-8ef202756ae6
isaac heath,f88679ff-b1d9-47a1-b8b9-315f75acc398
isaac schmidt,0028a673-0e6c-49c0-9dbf-9549cc821aef
ismaila sarr,a94cd76e-371d-42bd-910a-93708a625298
ismeal kabia,85b40e47-f24f-4a86-9d48-be111335cdc2
issa diop,b0219a6e-0d7c-4dae-9dd3-5eb5f433e70a
iwan morgan,276df59d-91b5-4888-ab7b-ba7a055b073b
jack fletcher,4f15683f-3c22-42ef-ae53-5d01912b75e6
jack grealish,e4182359-5e90-46f2-9cae-e80e359da2a3
jack harrison,ffcdd0ac-18fd-4363-9a88-4283a8b7f3b7
jack hinshelwood,75086ecb-9cb9-4986-a509-b62f89697627
jack moorhouse,a82fa7cf-08b8-4750-9d3f-80508cc8bdbb
jackson tchatchoua,1e2e34b4-cbd2-493b-bed8-f72b3f3e61c6
jacob bruun larsen,b1032d88-a98b-49fb-8f37-286b6c309f5d
jacob murphy,5ffc5da1-9b71-4950-92da-400453b51f22
jacob ramsey,60a36a7d-58d7-4dd4-ba50-86eb8cc0a71a
jacob slater,26852d55-b9f2-48a7-b3b1-05ffe24bb814
jadon sancho,65bed420-e698-4c06-b708-9ad1de104bf7
jaidon anthony,11eb6e67-8e22-4df6-88e0-f210e72e544c
jair paula da cunha filho,7dd21889-3bd4-46a2-ac1a-8c5a14ce2627
jaka bijol,56672deb-86af-464a-9ccf-55ba53d1b5af
jake obrien,08d0b3c9-1d9e-4d60-9d08-673145133da3
jakub kiwior,035b7212-209d-4165-95de-78969f73379f
jamaal lascelles,9ad1498d-936a-4dad-b7d9-6dbc11854b9f
jamaldeen jimohaloba,cfe9eb88-f46d-40bd-9ccb-876ad25c0a41
james garner,88fb1f48-4187-499b-af55-05da16f31f79
james hill,1f4810e6-d36e-41c9-8437-3561a9a11246
james justin,98ba4d98-6056-4309-bb29-e7645586ac80
james maddison,9273b66b-e28e-4218-b4c5-8d1ef08e8f9f
james mcatee,419107ff-47cf-4d22-b893-7f8aa4ec0f65
james mcconnell,5e55c4d0-6cfe-4978-8d36-02dcd04ee723
james milner,69279b6c-4067-4d6f-b1bc-bf964f9bba57
james rowswell,4743379e-c13c-43bc-9c5f-2e355d40b8c8
james tarkowski,fea100a9-2bde-42e0-816a-959ef4a97654
james trafford,3c6b304d-3256-43e7-aa47-a27e8d31bc2d
james wardprowse,d8fa064f-ca32-420d-8979-507fa18d2240
james wilson,6dc6fdce-0511-4917-95ef-ab9d6dcdee91
james wright,ec629dc4-0f8f-48b8-91db-11c09ed40143
jamie bynoegittens,77cd4f24-2198-4c7b-a237-353d1f63a29b
jan paul van hecke,cf3e2da6-3f50-400e-941e-82b2339fbfb6
jarrad branthwaite,531f578a-eaa1-4fa3-be26-f91dfbd0c188
jarrod bowen,fdf77761-3c14-4aff-b9f2-42eb74e62cfb
jason steele,762e8e12-045b-40af-8c96-e00c2026724f
jay matete,c46fe4d6-142d-49e1-bf4d-3aa9ac6c3dd0
jayce fitzgerald,59a67220-45f2-49c3-945e-4bbb46ad7ef0
jaydee canvot,4a7fa969-03b9-4422-b73e-a3a73264a9ff
jayden bogle,a8f58ea1-66d2-4e48-b2a3-af8f709f2746
jayden danns,d770a78c-b8e9-487a-a25e-fd1ec3439a0b
jayden meghoma,f8e9537e-8d40-4658-afe2-e53d2a4e9930
jaydon banel,9f52f945-b2d2-43f5-bd8a-3e571b41485f
jeanclair todibo,5df0b97a-94ca-41fa-b0dc-92bed238f339
jeanphilippe mateta,119fc0ab-e710-4fdb-870a-298064748571
jeanricner bellegarde,2888adfc-62c7-4be4-be4f-f9124b2a400b
jefferson lerma solis,82f1256a-524e-4fe4-b3bc-0f64a82e43dc
jenson jones,8eb7074c-4be5-49d7-9565-e677bb05d741
jenson metcalfe,09d73c69-95da-4934-b168-7e45ba11a540
jenson seelt,ebbf9575-651f-4e17-b2f0-ab3c4a590c03
jeremie frimpong,e7d25b03-183f-44eb-ba07-b0e731e5c6f9
jeremy doku,15362cf2-14d7-42f4-af0f-366dacad8cf8
jeremy sarmiento morante,53ac2227-0547-4d2a-a507-e0b184d6576f
jerome abbey,25f7a5f9-4631-443c-b64a-5819b6c5a4b3
jesurun raksakyi,c59ab868-6564-4cb4-b078-3933a65a5645
jhon arias,7898666c-40d3-4b97-843f-61c418398bd3
joachim andersen,0ac12745-7ffa-4881-8221-e2f9be356750
joao maria lobo alves palhares costa palhinha goncalves,10ae3347-3a02-4f2b-857f-f893d9321d9d
joao pedro ferreira da silva,bed0caab-e873-4838-936d-2b2a4ab1f12c
joao pedro junqueira de jesus,55a8465a-288a-4d50-9639-47ec4e0768d3
joao victor de souza menezes,6f4b02fa-c326-4d0f-ac71-2bfbe124134a
joao victor gomes da silva,aaedd156-22cd-4bb3-a4ad-1fc17261e87e
joe anderson,582b019b-7237-4335-b4ed-6ff79a648e4c
joe gauci,06b1ec8e-2c6b-4366-b1ee-2d645260109c
joe gelhardt,dc851289-cecf-4879-b415-d08627cc63b9
joe gomez,845b4f9c-2fc4-415a-b79c-511935f0cfc9
joe hodge,b293fda1-fbd5-4b03-b7e7-82b890afc81a
joe knight,8582ccbe-fb16-4e2a-90a5-509792098c1e
joe rodon,9e8d26f9-fcca-44d2-9939-03c86e069057
joe white,6c08aecd-7566-44d8-9013-2d1faa58cff3
joe willock,f3f91085-9596-4ac2-9f7c-89bfb9e82967
joe worrall,6c9910ae-1957-4e72-8f16-3d073e0e15dc
joel drakesthomas,92c3e136-acf5-4904-b9bb-2f2311fecf17
joel piroe,15c90ac9-3ba6-4ae7-b14e-b97f1ae06ab1
joel veltman,9395df26-8d19-488a-88ce-629897656070
joelinton cassio apolinario de lira,95ccf94a-5e34-40f9-be36-b21a4559ce72
john mcginn,56e689be-c029-4567-9c3b-537407e52daf
john ruddy,ce28c1bd-25b9-4f5b-a51e-67f8f414dddf
john stones,6fca2b13-c703-4632-8807-63211f94857e
john victor maciel furtado,c1b7ab5e-7633-4d9b-b579-6bff6fa58ff0
